Feeding_guild,Taxon,Site,Group,Group_Nr,d13C,d15N
SDF,Adamussium_colbecki,Elephants,Adacol1,1,-18.2,4.6
SDF,Adamussium_colbecki,Elephants,Adacol1,1,-19.6,4.3
SDF,Adamussium_colbecki,Elephants,Adacol1,1,-18.1,4.4
SDF,Adamussium_colbecki,Elephants,Adacol1,1,-19.9,4.9
SDF,Adamussium_colbecki,Elephants,Adacol1,1,-20.1,4.9
SDF,Adamussium_colbecki,Elephants,Adacol1,1,-19.9,4.2
SDF,Adamussium_colbecki,Lion,Adacol2,2,-19.4,4.9
SDF,Adamussium_colbecki,Lion,Adacol2,2,-20.5,4.0
SDF,Adamussium_colbecki,Lion,Adacol2,2,-20.2,4.3
SDF,Adamussium_colbecki,Lion,Adacol2,2,-20.2,4.3
SDF,Adamussium_colbecki,Lion,Adacol2,2,-19.2,3.9
SDF,Adamussium_colbecki,Lion,Adacol2,2,-19.6,4.3
SDF,Adamussium_colbecki,Lion,Adacol2,2,-19.4,4.6
SDF,Adamussium_colbecki,Lion,Adacol2,2,-19.5,4.5
SDF,Adamussium_colbecki,Lion,Adacol2,2,-19.7,4.4
SDF,Adamussium_colbecki,Lion,Adacol2,2,-19.1,5.0
SDF,Adamussium_colbecki,Lion,Adacol2,2,-19.1,4.6
SDF,Adamussium_colbecki,Lion,Adacol2,2,-19.9,4.5
SDF,Adamussium_colbecki,Lion,Adacol2,2,-19.1,4.7
SDF,Adamussium_colbecki,Lion,Adacol2,2,-19.7,4.1
SDF,Adamussium_colbecki,Lion,Adacol2,2,-18.5,4.8
SDF,Adamussium_colbecki,Lion,Adacol2,2,-19.8,4.3
SDF,Adamussium_colbecki,Lion,Adacol2,2,-19.5,4.1
SDF,Adamussium_colbecki,Lion,Adacol2,2,-19.0,4.6
SDF,Adamussium_colbecki,Lion,Adacol2,2,-18.9,4.7
SDF,Adamussium_colbecki,Lion,Adacol2,2,-19.9,6.6
SDF,Adamussium_colbecki,Lion,Adacol2,2,-19.5,7.2
Grazer,Flabegraviera_mundata,Elephants,Flamun1,3,-16.5,6.2
Grazer,Flabegraviera_mundata,Elephants,Flamun1,3,-16.5,5.9
Grazer,Flabegraviera_mundata,Elephants,Flamun1,3,-16.5,5.8
Grazer,Flabegraviera_mundata,Elephants,Flamun1,3,-16.3,5.8
Grazer,Flabegraviera_mundata,Elephants,Flamun1,3,-14.5,5.8
Grazer,Flabegraviera_mundata,Elephants,Flamun1,3,-15.3,7.2
Grazer,Flabegraviera_mundata,Elephants,Flamun1,3,-15.7,5.2
Grazer,Flabegraviera_mundata,Elephants,Flamun1,3,-14.3,8.1
Grazer,Flabegraviera_mundata,Elephants,Flamun1,3,-15.1,5.8
Grazer,Flabegraviera_mundata,Elephants,Flamun1,3,-16.0,6.4
Grazer,Flabegraviera_mundata,Elephants,Flamun1,3,-15.3,5.1
Grazer,Flabegraviera_mundata,Lion,Flamun2,4,-16.6,9.9
Grazer,Flabegraviera_mundata,Lion,Flamun2,4,-16.8,9.1
Grazer,Flabegraviera_mundata,Lion,Flamun2,4,-16.5,9.1
Grazer,Flabegraviera_mundata,Lion,Flamun2,4,-15.6,9.0
Grazer,Flabegraviera_mundata,Lion,Flamun2,4,-15.7,5.9
Grazer,Flabegraviera_mundata,Lion,Flamun2,4,-16.0,6.3
Grazer,Flabegraviera_mundata,Lion,Flamun2,4,-15.9,7.3
