Species,Item,d13C,d15N
Decolopoda,Pelagic_BL,-27,6.6
Decolopoda,Pelagic_BL,-26.9,8
Decolopoda,Pelagic_BL,-26,5.1
Decolopoda,Pelagic_BL,-26.3,6
Decolopoda,Pelagic_BL,-26.6,6.4
Decolopoda,Pelagic_BL,-27.3,6.5
Decolopoda,Pelagic_BL,-26.7,6.7
Decolopoda,Pelagic_BL,-26.8,5.8
Decolopoda,Pelagic_BL,-26.9,5.4
Decolopoda,Pelagic_BL,-26.5,6.7
Decolopoda,Pelagic_BL,-27.8,7
Decolopoda,Pelagic_BL,-25.6,6.7
Decolopoda,Sympagic_BL,-11.9,6.2
Decolopoda,Sympagic_BL,-12.2,5
Decolopoda,Sympagic_BL,-12.9,5.3
Decolopoda,Sympagic_BL,-11.7,5.2
Decolopoda,Sympagic_BL,-8.1,4.8
Decolopoda,Sympagic_BL,-14.8,5.9
Decolopoda,Sympagic_BL,-11.4,5.2
Decolopoda,Sympagic_BL,-11.2,4.9
Decolopoda,Sympagic_BL,-14.1,5.4
Decolopoda,Sympagic_BL,-13.4,6.1
Decolopoda,Sympagic_BL,-14.3,6.2
Decolopoda,Sympagic_BL,-13.7,4.7
Decolopoda,Sympagic_BL,-15.8,6
Decolopoda,Sympagic_BL,-13,4.4
Decolopoda,Sympagic_BL,-11.7,5.3
Decolopoda,Sympagic_BL,-13.4,5.2
Decolopoda,Sympagic_BL,-10.7,5.3
Decolopoda,Sympagic_BL,-12.4,5.3
Decolopoda,Sympagic_BL,-12.2,4.8
Decolopoda,Sympagic_BL,-11.1,5.2
Decolopoda,Decolopoda,-20.3,9.8
Decolopoda,Decolopoda,-22.2,9.6
Decolopoda,Decolopoda,-20.9,9
Decolopoda,Decolopoda,-18.6,9
Decolopoda,Decolopoda,-19.2,11.1
Decolopoda,Decolopoda,-19.5,9.9
Decolopoda,Decolopoda,-19.6,8.6
Decolopoda,Decolopoda,-19.7,8
Decolopoda,Decolopoda,-21.9,8.8
Decolopoda,Decolopoda,-16.6,11.6
Decolopoda,Decolopoda,-20.4,10.3
Decolopoda,Decolopoda,-16.7,11.4
Decolopoda,Decolopoda,-20,9.8
Decolopoda,Decolopoda,-21.7,9.1
Decolopoda,Decolopoda,-20.2,11.1
Decolopoda,Decolopoda,-18.6,9
Decolopoda,Decolopoda,-21.4,7
Decolopoda,Decolopoda,-22.1,10
Decolopoda,Decolopoda,-19.4,11.5
Decolopoda,Decolopoda,-19.5,9.5
Decolopoda,Decolopoda,-20.7,10.4
Decolopoda,Decolopoda,-21.5,9.9
Decolopoda,Decolopoda,-19.3,10.4
Decolopoda,Decolopoda,-18.1,9.8
Flabegraviera,Pelagic_BL,-27,6.6
Flabegraviera,Pelagic_BL,-26.9,8
Flabegraviera,Pelagic_BL,-26,5.1
Flabegraviera,Pelagic_BL,-26.3,6
Flabegraviera,Pelagic_BL,-26.6,6.4
Flabegraviera,Pelagic_BL,-27.3,6.5
Flabegraviera,Pelagic_BL,-26.7,6.7
Flabegraviera,Pelagic_BL,-26.8,5.8
Flabegraviera,Pelagic_BL,-26.9,5.4
Flabegraviera,Pelagic_BL,-26.5,6.7
Flabegraviera,Pelagic_BL,-27.8,7
Flabegraviera,Pelagic_BL,-25.6,6.7
Flabegraviera,Sympagic_BL,-11.9,6.2
Flabegraviera,Sympagic_BL,-12.2,5
Flabegraviera,Sympagic_BL,-12.9,5.3
Flabegraviera,Sympagic_BL,-11.7,5.2
Flabegraviera,Sympagic_BL,-8.1,4.8
Flabegraviera,Sympagic_BL,-14.8,5.9
Flabegraviera,Sympagic_BL,-11.4,5.2
Flabegraviera,Sympagic_BL,-11.2,4.9
Flabegraviera,Sympagic_BL,-14.1,5.4
Flabegraviera,Sympagic_BL,-13.4,6.1
Flabegraviera,Sympagic_BL,-14.3,6.2
Flabegraviera,Sympagic_BL,-13.7,4.7
Flabegraviera,Sympagic_BL,-15.8,6
Flabegraviera,Sympagic_BL,-13,4.4
Flabegraviera,Sympagic_BL,-11.7,5.3
Flabegraviera,Sympagic_BL,-13.4,5.2
Flabegraviera,Sympagic_BL,-10.7,5.3
Flabegraviera,Sympagic_BL,-12.4,5.3
Flabegraviera,Sympagic_BL,-12.2,4.8
Flabegraviera,Sympagic_BL,-11.1,5.2
Flabegraviera,Flabegraviera,-16.5,6.2
Flabegraviera,Flabegraviera,-16.5,5.9
Flabegraviera,Flabegraviera,-16.5,5.8
Flabegraviera,Flabegraviera,-16.3,5.8
Flabegraviera,Flabegraviera,-14.5,5.8
Flabegraviera,Flabegraviera,-15.3,7.2
Flabegraviera,Flabegraviera,-15.7,5.2
Flabegraviera,Flabegraviera,-14.3,8.1
Flabegraviera,Flabegraviera,-15.1,5.8
Flabegraviera,Flabegraviera,-16,6.4
Flabegraviera,Flabegraviera,-15.3,5.1
Flabegraviera,Flabegraviera,-16.6,9.9
Flabegraviera,Flabegraviera,-16.8,9.1
Flabegraviera,Flabegraviera,-16.5,9.1
Flabegraviera,Flabegraviera,-15.6,9
Flabegraviera,Flabegraviera,-15.7,5.9
Flabegraviera,Flabegraviera,-16,6.3
Flabegraviera,Flabegraviera,-15.9,7.3
Flabegraviera,Flabegraviera,-15.7,7.3
Flabegraviera,Flabegraviera,-15.4,7.2
Flabegraviera,Flabegraviera,-15.3,8
Flabegraviera,Flabegraviera,-15.2,9.4
Odontaster,Pelagic_BL,-27,6.6
Odontaster,Pelagic_BL,-26.9,8
Odontaster,Pelagic_BL,-26,5.1
Odontaster,Pelagic_BL,-26.3,6
Odontaster,Pelagic_BL,-26.6,6.4
Odontaster,Pelagic_BL,-27.3,6.5
Odontaster,Pelagic_BL,-26.7,6.7
Odontaster,Pelagic_BL,-26.8,5.8
Odontaster,Pelagic_BL,-26.9,5.4
Odontaster,Pelagic_BL,-26.5,6.7
Odontaster,Pelagic_BL,-27.8,7
Odontaster,Pelagic_BL,-25.6,6.7
Odontaster,Sympagic_BL,-11.9,6.2
Odontaster,Sympagic_BL,-12.2,5
Odontaster,Sympagic_BL,-12.9,5.3
Odontaster,Sympagic_BL,-11.7,5.2
Odontaster,Sympagic_BL,-8.1,4.8
Odontaster,Sympagic_BL,-14.8,5.9
Odontaster,Sympagic_BL,-11.4,5.2
Odontaster,Sympagic_BL,-11.2,4.9
Odontaster,Sympagic_BL,-14.1,5.4
Odontaster,Sympagic_BL,-13.4,6.1
Odontaster,Sympagic_BL,-14.3,6.2
Odontaster,Sympagic_BL,-13.7,4.7
Odontaster,Sympagic_BL,-15.8,6
Odontaster,Sympagic_BL,-13,4.4
Odontaster,Sympagic_BL,-11.7,5.3
Odontaster,Sympagic_BL,-13.4,5.2
Odontaster,Sympagic_BL,-10.7,5.3
Odontaster,Sympagic_BL,-12.4,5.3
Odontaster,Sympagic_BL,-12.2,4.8
