Community,1,Anse du Lion
,2,Cap des Elephants
Group,1,Adamussium colbecki
,2,Charcotia obesa
,3,Decolopoda australis
,4,Demospongiae Indet.
,5,Diplasterias brucei
,6,Flabegraviera mundata
,7,Harmothoe sp.
,8,Hemigellius sp.
,9,Heterocucumis sp.
,10,Homaxinella balfourensis
,11,Laternula elliptica
,12,Margarella sp.
,13,Mycale acerata
,14,Odontaster validus
,15,Ophiura sp.
,16,Parborlasia corrugatus
,17,Perkinsiana sp.
,18,Polycirrus sp.
,19,Staurocucumis sp.
,20,Sterechinus neumayeri
