iso1,iso2,group,community
-19.4,4.9,1,1
-20.5,4,1,1
-20.2,4.3,1,1
-20.2,4.3,1,1
-19.2,3.9,1,1
-19.6,4.3,1,1
-19.4,4.6,1,1
-19.5,4.5,1,1
-19.7,4.4,1,1
-19.1,5,1,1
-19.1,4.6,1,1
-19.9,4.5,1,1
-19.1,4.7,1,1
-19.7,4.1,1,1
-18.5,4.8,1,1
-19.8,4.3,1,1
-19.5,4.1,1,1
-19,4.6,1,1
-18.9,4.7,1,1
-20.4,11.1,2,1
-21,9.2,2,1
-19.9,9.1,2,1
-20.4,10.4,2,1
-21.8,9.3,2,1
-20.4,7.1,2,1
-21.6,9.8,2,1
-20.4,8.9,2,1
-20.5,8,2,1
-20.4,10.5,2,1
-20.4,6.8,2,1
-21,11.2,2,1
-19.7,11.9,2,1
-21.5,9.1,2,1
-21.2,7.6,2,1
-20,11,2,1
-19.4,8.2,2,1
-19.6,8.6,3,1
-19.7,8,3,1
-21.9,8.8,3,1
-16.6,11.6,3,1
-20.4,10.3,3,1
-16.7,11.4,3,1
-20,9.8,3,1
-21.7,9.1,3,1
-20.2,11.1,3,1
-18.6,9,3,1
-21.4,7,3,1
-22.1,10,3,1
-19.4,11.5,3,1
-19.5,9.5,3,1
-20.7,10.4,3,1
-21.5,9.9,3,1
-19.3,10.4,3,1
-18.1,9.8,3,1
-19.6,7.6,4,1
-19.2,7.7,4,1
-19,8.7,4,1
-18.7,8.4,4,1
-18.8,8.3,4,1
-19,8,4,1
-19.2,8.5,4,1
-14.7,9.7,5,1
-16.3,9.5,5,1
-13.4,9.5,5,1
-15.5,8.9,5,1
-15,9.2,5,1
-14.9,7.8,5,1
-18.8,8.5,5,1
-19.1,7.8,5,1
-16.6,9.9,6,1
-16.8,9.1,6,1
-16.5,9.1,6,1
-15.6,9,6,1
-15.7,5.9,6,1
-16,6.3,6,1
-15.9,7.3,6,1
-15.7,7.3,6,1
-15.4,7.2,6,1
-15.3,8,6,1
-15.2,9.4,6,1
-14.8,7.8,7,1
-16.1,8.6,7,1
-16.1,7.3,7,1
-14.7,8.4,7,1
-15.1,8.5,7,1
-15.5,8.6,7,1
-15.6,8.8,7,1
-16.2,9.7,7,1
-20.4,8.2,8,1
-20.3,10.4,8,1
-20.8,10.5,8,1
-20.6,11.2,8,1
-20.6,9.1,8,1
-20.5,9.7,8,1
-19.6,10.1,8,1
-25,5.5,9,1
-24.2,3.9,9,1
-25.2,6.9,9,1
-25.4,6.8,9,1
-25.9,5.8,9,1
-24.7,5.2,9,1
-22.7,8.2,9,1
-26.4,6.3,9,1
-25.1,7.8,9,1
-25.5,4.4,9,1
-26.3,6.7,9,1
-25.2,8,9,1
-26.1,7.7,9,1
-26.3,5.1,9,1
-26.6,6,9,1
-25.8,4.8,9,1
-26.7,6,9,1
-18.8,6.5,10,1
-20.2,7.5,10,1
-18,9.9,10,1
-19.1,7,10,1
-19.2,7.4,10,1
-18.6,7.5,10,1
-19.2,7.4,10,1
-18.8,6.3,10,1
-19.9,6.7,10,1
-19.5,6.3,10,1
-22.6,3.7,11,1
-23.9,4.8,11,1
-23.3,4.7,11,1
-22.5,4.2,11,1
-22.6,4.5,11,1
-22.9,4.1,11,1
-21.4,4.8,11,1
-20.3,4.7,11,1
-21.7,4.2,11,1
-21.5,4.2,11,1
-25.3,5,11,1
-22.8,5.3,11,1
-24.6,4.7,11,1
-23.6,4.5,11,1
-20.5,3.8,11,1
-19.2,7.6,12,1
-18,8.2,12,1
-19.2,7.7,12,1
-19.2,8.3,12,1
-19.6,7.3,12,1
-21.2,14.2,13,1
-21.5,16.9,13,1
-19.8,11,13,1
-20.7,10.7,13,1
-20.5,10,13,1
-21,10.9,13,1
-20,11.1,13,1
-12.8,8,14,1
-15.5,9.4,14,1
-13.4,8.5,14,1
-13.9,8.7,14,1
-14.5,8.6,14,1
-14.1,8.2,14,1
-15.5,7.4,14,1
-14.4,8.4,14,1
-13.9,9,14,1
-12.9,8.1,14,1
-13.9,8.2,14,1
-12.9,8.7,14,1
-18.5,7.5,15,1
-16.4,6.8,15,1
-16,7.4,15,1
-18.9,8.2,15,1
-16.3,6.8,15,1
-17.7,7.2,15,1
-16.9,6.9,15,1
-17.6,7,15,1
-19.4,9.8,16,1
-23.2,8.5,16,1
-20,10,16,1
-19,11.8,16,1
-18.8,11.6,16,1
-23.1,10.3,16,1
-17.5,11.1,16,1
-18.9,10.6,16,1
-21,11.3,16,1
-18.7,6.3,17,1
-18,7,17,1
-19.2,6.8,17,1
-18.9,6,17,1
-19.8,7.2,17,1
-17.6,9.5,17,1
-18.6,6.1,17,1
-18.4,7.5,18,1
-15.8,6.2,18,1
-17,7.8,18,1
-16.6,9.9,18,1
-16.5,8.1,18,1
-15.7,6.2,18,1
-15.6,6.9,18,1
-24.3,5.7,19,1
-25.2,7.7,19,1
-25.6,5.6,19,1
-23.5,8.4,19,1
-23.8,6.6,19,1
-24.1,8.4,19,1
-24.1,6.5,19,1
-13.8,8.1,20,1
-14.5,7.2,20,1
-14.2,6.8,20,1
-14.7,7.4,20,1
-13.3,6.7,20,1
-13.4,8.3,20,1
-18.2,4.6,1,2
-19.6,4.3,1,2
-18.1,4.4,1,2
-19.9,4.9,1,2
-20.1,4.9,1,2
-19.9,4.2,1,2
-21.4,8.2,2,2
-20.3,8.6,2,2
-20.8,7.9,2,2
-19.6,8.3,2,2
-20.8,7.7,2,2
-20.5,8.6,2,2
-20.3,9.2,2,2
-20.8,10.4,2,2
-20.1,8.6,2,2
-20.3,9,2,2
-20.3,9.8,3,2
-22.2,9.6,3,2
-20.9,9,3,2
-18.6,9,3,2
-19.2,11.1,3,2
-19.5,9.9,3,2
-19.3,8.5,4,2
-19.5,8.1,4,2
-19.1,8.5,4,2
-19.4,7.9,4,2
-19.4,7.8,4,2
-19.6,9.5,4,2
-18.9,8.6,4,2
-16,8.4,5,2
-16.6,8.2,5,2
-18.7,6.9,5,2
-17.7,8.3,5,2
-15.4,8.8,5,2
-14.1,9.3,5,2
-16.8,7.8,5,2
-14.8,8.5,5,2
-13.6,8.3,5,2
-15.4,8.6,5,2
-15.2,8.4,5,2
-13.7,9.7,5,2
-16.2,8.5,5,2
-16.5,6.2,6,2
-16.5,5.9,6,2
-16.5,5.8,6,2
-16.3,5.8,6,2
-14.5,5.8,6,2
-15.3,7.2,6,2
-15.7,5.2,6,2
-14.3,8.1,6,2
-15.1,5.8,6,2
-16,6.4,6,2
-15.3,5.1,6,2
-19.1,9.6,7,2
-17.3,8.7,7,2
-21.9,7.9,7,2
-21.1,10,7,2
-18.5,9.2,7,2
-17.4,8.5,7,2
-15.4,9.4,7,2
-18.4,8.7,7,2
-17.3,8.2,7,2
-15.3,9.5,7,2
-14.9,9.1,7,2
-19,7.5,7,2
-16.3,9.5,7,2
-16.3,8.9,7,2
-16.8,8,7,2
-14.3,7.7,7,2
-17,9.5,7,2
-16.9,9.8,7,2
-15.3,9.3,7,2
-15.4,8.6,7,2
-15.2,8.2,7,2
-16.1,8,7,2
-20.2,11.3,8,2
-20.2,11.3,8,2
-19.5,11.8,8,2
-20,12.5,8,2
-20.1,9,8,2
-19.9,10.5,8,2
-20.6,10.8,8,2
-20.4,12,8,2
-20.8,11.4,8,2
-20.5,9.6,8,2
-18.9,5.6,8,2
-20.6,11.9,8,2
-24.9,6.3,9,2
-25,6.8,9,2
-24.1,8.8,9,2
-25.6,5.6,9,2
-26.2,6.1,9,2
-26.5,6,9,2
-16.3,11.2,10,2
-14.3,10.6,10,2
-19.4,7.8,10,2
-23.2,11.4,10,2
-22.3,10.6,10,2
-24.3,10.6,10,2
-18.5,7.9,10,2
-18.3,8.4,10,2
-19.3,7.9,10,2
-19,7.2,10,2
-22.5,7,10,2
-21.1,6.9,10,2
-23.5,3.6,11,2
-22.7,4.2,11,2
-23,3.9,11,2
-22.6,4.6,11,2
-19.7,4.6,11,2
-19.5,4.9,11,2
-18.6,8.1,12,2
-19.5,7.9,12,2
-18.1,8.2,12,2
-19,8.4,12,2
-19.3,8,12,2
-18.6,8.3,12,2
-21,8.2,13,2
-20.8,8.4,13,2
-20.9,8.1,13,2
-20.5,8.3,13,2
-20.5,10.5,13,2
-20.9,8.5,13,2
-20.3,8.4,13,2
-20.3,8.8,13,2
-20.9,13.2,13,2
-20.8,13.4,13,2
-12.4,9.3,14,2
-13.8,8.5,14,2
-14.4,8,14,2
-14.8,8.8,14,2
-12.9,9.1,14,2
-13,9.2,14,2
-14.3,9.1,14,2
-13.5,9.5,14,2
-14.1,9.2,14,2
-14,9,14,2
-15,8.6,14,2
-17.9,6.2,15,2
-15.7,7.7,15,2
-17.5,8.3,15,2
-17.5,7.9,15,2
-18.1,5.8,15,2
-17.3,7.2,15,2
-16.5,7.4,15,2
-16.7,7.2,15,2
-16.2,6.9,15,2
-17.5,7.5,15,2
-17.7,7.1,15,2
-17,7,15,2
-16.7,6.8,15,2
-15.6,6.8,15,2
-16.3,7,15,2
-15.9,10,16,2
-18.6,9.6,16,2
-20.5,7.7,16,2
-18.2,9.4,16,2
-18.1,10.3,16,2
-18.6,10.3,16,2
-18.4,10,16,2
-18.2,10.4,16,2
-18.1,11.1,16,2
-19.2,11.3,16,2
-19.8,8.6,16,2
-21,10.4,16,2
-19.8,9.4,16,2
-17.7,9,16,2
-19.5,10.2,16,2
